All time: 11.4387
Directory: recup_dir.4; time: 80
Directory: recup_dir.3; time: 84
Directory: recup_dir.2; time: 106
Directory: recup_dir.1; time: 533
Directory: recup_dir.69; time: 100
Directory: recup_dir.68; time: 67
Directory: recup_dir.67; time: 38
Directory: recup_dir.66; time: 100
Directory: recup_dir.65; time: 83
Directory: recup_dir.64; time: 40
Directory: recup_dir.63; time: 33
Directory: recup_dir.62; time: 188
Directory: recup_dir.61; time: 406
Directory: recup_dir.60; time: 37
Directory: recup_dir.77; time: 526
Directory: recup_dir.76; time: 22
Directory: recup_dir.79; time: 151
Directory: recup_dir.78; time: 256
Directory: recup_dir.73; time: 28
Directory: recup_dir.72; time: 401
Directory: recup_dir.75; time: 17
Directory: recup_dir.74; time: 23
Directory: recup_dir.70; time: 67
Directory: recup_dir.71; time: 860
Directory: recup_dir.49; time: 513
Directory: recup_dir.48; time: 902
Directory: recup_dir.47; time: 144
Directory: recup_dir.42; time: 33
Directory: recup_dir.41; time: 294
Directory: recup_dir.40; time: 121
Directory: recup_dir.46; time: 175
Directory: recup_dir.45; time: 29
Directory: recup_dir.44; time: 176
Directory: recup_dir.43; time: 52
Directory: recup_dir.59; time: 35
Directory: recup_dir.58; time: 59
Directory: recup_dir.51; time: 50
Directory: recup_dir.50; time: 45
Directory: recup_dir.53; time: 705
Directory: recup_dir.52; time: 449
Directory: recup_dir.55; time: 133
Directory: recup_dir.54; time: 250
Directory: recup_dir.57; time: 163
Directory: recup_dir.56; time: 173
Directory: recup_dir.21; time: 93
Directory: recup_dir.22; time: 190
Directory: recup_dir.23; time: 1802
Directory: recup_dir.24; time: 268
Directory: recup_dir.20; time: 72
Directory: recup_dir.29; time: 25
Directory: recup_dir.25; time: 181
Directory: recup_dir.26; time: 598
Directory: recup_dir.27; time: 1288
Directory: recup_dir.28; time: 47
Directory: recup_dir.34; time: 21
Directory: recup_dir.35; time: 39
Directory: recup_dir.32; time: 146
Directory: recup_dir.33; time: 39
Directory: recup_dir.30; time: 35
Directory: recup_dir.31; time: 506
Directory: recup_dir.38; time: 33
Directory: recup_dir.39; time: 32
Directory: recup_dir.36; time: 22
Directory: recup_dir.37; time: 37
Directory: recup_dir.85; time: 11790
Directory: recup_dir.86; time: 144
Directory: recup_dir.83; time: 504
Directory: recup_dir.84; time: 14574
Directory: recup_dir.89; time: 73
Directory: recup_dir.87; time: 758
Directory: recup_dir.88; time: 737
Directory: recup_dir.82; time: 3895
Directory: recup_dir.81; time: 1470
Directory: recup_dir.80; time: 57
Directory: recup_dir.94; time: 20683
Directory: recup_dir.95; time: 133632
Directory: recup_dir.96; time: 107683
Directory: recup_dir.97; time: 125579
Directory: recup_dir.9; time: 2414
Directory: recup_dir.98; time: 53232
Directory: recup_dir.8; time: 33
Directory: recup_dir.99; time: 128290
Directory: recup_dir.7; time: 33
Directory: recup_dir.6; time: 64
Directory: recup_dir.5; time: 427
Directory: recup_dir.12; time: 508
Directory: source; time: 5
Directory: recup_dir.13; time: 228
Directory: recup_dir.10; time: 2032
Directory: recup_dir.11; time: 1492
Directory: recup_dir.16; time: 365
Directory: recup_dir.17; time: 40
Directory: recup_dir.14; time: 257
Directory: recup_dir.15; time: 328
Directory: recup_dir.91; time: 24229
Directory: recup_dir.90; time: 3812
Directory: recup_dir.18; time: 3416
Directory: recup_dir.93; time: 21137
Directory: recup_dir.19; time: 112
Directory: recup_dir.92; time: 8061
